,拼音,解释,例子,用法,谜语,感情,英语,结构,字数,年代,热度,词语解释,出处,正音,辨形,辨析,繁体,组合,歇后语,成语故事
难以启齿,nán yǐ qǐ chǐ,启齿：开口。话很难说出口。,高阳《胡雪岩全传·平步青云》上册：“苦于第一天见面，身分限制，难以启齿。”,作谓语、定语；指难言之隐。,,中性,have a bone in one's throat（stick in somebody's throat）,偏正式,四字,古代,常用,难以启齿,明·冯梦龙《警世通言》第二卷：“所恨者新丧未久，况且女求于男，难以启齿。”,,,,難以啓齒,,,
风驰电掣,fēng chí diàn chè,弛：快跑；掣：闪过。像风奔驰；像电闪过。形容非常迅速；急闪而过。也作“风驰电赴”。,黄飞虎枪法如风驰电掣，往来如飞。（明 许仲琳《封神演义》第六十回）,联合式；作谓语、定语、状语；用于书面语。,,中性,swift as the wind and quick as lightning,联合式,四字,古代,常用,风驰电掣,《六韬 龙韬》：“奋威四人，主择材力，论兵革，风驰电掣，不知所由。”,“掣”，不能读作“zhì”。,“掣”，不能写作“挚”、“制”。,,風馳電掣,,,
同心协力,tóng xīn xié lì,团结一致；共同努力。协：合。,只要我们大家同心协力，就没有克服不了的困难。,联合式；作谓语、定语、状语；含褒义。,划龙舟,褒义,unite in spirit and action,联合式,四字,古代,常用,同心协力,《梁书 王僧辩传》：“讨逆贼于咸阳，诛叛子于云梦，同心协力，克定邦家。”,“同”，不能读作“tòng”。,“协”，不能写作“胁”。,同心协力指团结一心；“共同努力”不含共同克服困难之意。“和衷共济”多指团结一心；共同克服困难。,同心協力,,两口子推磨,
漠不关心,mò bù guān xīn,漠：冷淡；冷漠。对人对事感情冷漠；淡然处之；不放在心上。,好比看古代或是异国的故事，漠不关心。（叶圣陶《英文教授》）,偏正式；作谓语、定语、状语；含贬义。,最没爱心的人,贬义,pay no attention at all,偏正式,四字,古代,常用,漠不关心,明 朱之瑜《与冈骑昌纯书二首》：“至于一身之荣瘁，禄食之厚薄，则漠不关心，故惟以得行其道为悦。”,“不”，不能读作“bú”。,“漠”，不能写作“莫”。,见“漠然置之”。,漠不關心,,,
建功立业,jiàn gōng lì yè,建：建立；功：功勋；业：事业。建立功勋和事业。,……凭着这资格可以建功立业，也可以升官发财。（朱自清《经典常谈〈四书〉第七》）,联合式；作谓语、宾语；指建立功勋和事业。,,中性,build up establishment,联合式,四字,古代,常用,建功立业,宋 苏轼《应制举上两制书》：“古之圣贤建功立业、兴利捍患，至于百工小事之事皆有可观。”,,“建”，不能写作“健”；“立”，不能写作“力”。,,建功立業,,,
敬而远之,jìng ér yuǎn zhī,敬：尊重；远：不接近；之：指对象。尊敬他又不接近他。,若遇此等人，敬而远之，以免杀身之祸。（清 刘鹗《老残游记》第十一回）,动宾式；作谓语、宾语、定语；含贬义。,尊古,贬义,keep at a respectful distance,偏正式,四字,古代,常用,敬而远之,先秦 孔子《论语 雍也》：“务民之义，敬鬼神而远之，可谓知矣。”,“而”，不能读作“ěr”。,“敬”，不能写作“近”。,,敬而遠之,,,敬而远之
笑容可掬,xiào róng kě jū,脸上的笑容好像可以用手捧起来一样。形容笑容满面。掬：用双手捧起来。,这些学生们一天总是那么活泼开朗，笑容可掬。,主谓式；作谓语、定语、状语；形容人很高兴的样子。,菊脸,中性,be all smiles,主谓式,四字,古代,常用,笑容可掬,明 罗贯中《三国演义》第95回：“果见孔明坐于城楼之上，笑容可掬，焚香操琴。”,“掬”，不能读作“jú”。,“掬”，不能写作“鞠”。,笑容可掬和“喜形于色”；都有“脸上流露喜悦”的意思；但笑容可掬侧重于面部表情；可能表里如一；也可能为了某种目的表里不一。“喜形于色”是发自内心的表露在脸上的喜悦；是表里如一的。,,,,笑容可掬
义愤填膺,yì fèn tián yīng,膺：胸。正义的愤恨充满了胸膛。,畿辅士民，屡遭虏骑蹂躏，莫不义愤填膺，恨之切骨。（姚雪垠《李自成》第一卷第二章）,主谓式；作谓语、定语、状语；含褒义。,,褒义,Anger for justice filled.,主谓式,四字,近代,常用,义愤填膺,南朝 梁 江淹《恨赋》：“置酒欲饮，悲来填膺。”,“填”，不能读作“tiān”。,“膺”，不能写作“鹰”。,,義憤填膺,,,
独来独往,dú lái dú wǎng,独身往来，不与人为伍。比喻事事不与人相同。,古怪，独来独往，爱抬杠，你说东来他偏西。柳青《狠透铁》,作谓语、宾语；指人个性强。,,中性,,联合式,四字,古代,常用,独来独往,明 李贽《何心隐论》：“公独来独往，自我无前者也。”,,,,獨來獨往,ABAC式,,
炯炯有神,jiǒng jiǒng yǒu shén,炯炯：明亮的样子。形容眼睛明亮有神。,许云峰虽然被敌人折磨得遍体鳞伤，但双目依然炯炯有神。,偏正式；作宾语、定语、状语；含褒义。,,褒义,with bright piercing eyes,偏正式,四字,近代,常用,炯炯有神,晋 潘岳《秋兴赋》：“登春台之熙熙兮，珥金貂之炯炯。”,“炯”，不能读作“tóng”。,“炯”，不能写作“迥”。,炯炯有神和“目光炯炯”；都形容“眼睛明亮有神”；有时可通用。但炯炯有神偏重于“有神”；描写“眼睛”；“目光”；“目光炯炯”偏重于“明亮”；陈述对象是“人”。,烱烱有神,AABC式,,
一言一行,yī yán yī xíng,每句话，每个行动。,钱钟书《猫》：“从此他一言一行都求跟自己眼睛的风度调和一贯。”,作主语、宾语；指言行。,,中性,,联合式,四字,古代,常用,一言一行,清 冯景《今世说序》：“则夫一言一行，传其人之神，何以异是。”,,,,,ABAC式,,
似是而非,sì shì ér fēi,是：对；正确；非：不对；错误。好像是对的；实际上不对。指表面上相似；实际上不一样。,于是，在他讲演的时候，他就用他的一口似是而非的北京话，在讲坛上大谈起来。,复句式；作谓语、定语、状语；含贬义。,像又不像,贬义,specious,紧缩式,四字,古代,常用,似是而非,先秦 孔子《孟子 尽心下》：“孔子曰：‘恶似而非者。’”,“似”，不能读作“shì”。,“是”，不能写作“事”。,,佀是而非,,,似是而非
叱咤风云,chì zhà fēng yún,叱咤：发怒吆喝。一声怒喝；可使风云变色。形容声势威力极大；可以左右整个局势。,因此，一变而为欺人与自欺，而应当叱咤风云的武士都变成了小丑。（老舍《四世同堂》九）,动宾式；作宾语、定语；含褒义，形容有重大影响力的人物。,最能呼风唤雨的人,褒义,have nature under one's thumb,动宾式,四字,古代,常用,叱咤风云,《晋书 乞伏炽磐载记论》：“炽磐叱咤风云，见机而动。”,“叱”，不能读作“qī”。,“咤”，不能写作“姹”。,,叱咤風雲,,,叱咤风云
纷至沓来,fēn zhì tà lái,纷：多；杂乱；沓：重复；多。形容接连不断地到来。,贴出布告以后，自己在招募公所坐镇，只见应募的小伙子，纷至沓来，应接不暇。（高阳《清宫外史》下册）,联合式；作谓语、定语；用于书面语。,,中性,come as thick as hail,联合式,四字,古代,常用,纷至沓来,宋 楼钥《序》：“禅位之诏，登极之赦，尊号改元等文，皆出公手，纷至沓来，从容应之，动合体制。”,“沓”，不能读作“dá”。,“沓”，不能写作“舀”、“杳”。,纷至沓来和“络绎不绝”；都有“连续不断”的意思。两者在加强语气时可通用。但纷至沓来不仅指人；还可泛指一切事物；“络绎不绝”专指人；车、马、船的来来往往；同时含有“繁盛”的意思；纷至沓来没有。,紛至沓來,,,纷至沓来
步步为营,bù bù wéi yíng,步：古时五尺为步；步步：表示距离近；营：军事营垒。军队每前进一步就设下一道营垒。比喻行动谨慎；防备严密。现常用来比喻行动、做事谨慎；稳扎稳打。,可激劝士卒，拔寨前进，步步为营，诱渊来战而擒之：此乃“反客为主”之法。（明 罗贯中《三国演义》第七十一回）,动宾式；作谓语、宾语；比喻做事谨慎。,货郎担；鞋店；曹植逼赋豆萁诗,中性,make a stand at every step,动宾式,四字,古代,常用,步步为营,明 罗贯中《三国演义》第71回：“可激劝士卒，拔寨前进，步步为营，诱渊来战而擒之。”,“为”，不能读作“wèi”。,“营”，不能写作“莹”。,步步为营与“稳扎稳打”有别：步步为营着眼于行动谨慎；考虑周密；“稳扎稳打”着眼于行动稳当而有把握。,步步為營,AABC式,,
五光十色,wǔ guāng shí sè,五、十：表示多。形容色泽鲜艳；花样繁多。也比喻事物形形色色。,故宫珍宝馆的玻璃柜里，摆着五光十色的稀世奇珍。,联合式；作谓语、定语、状语；含褒义。,霓虹灯,褒义,bright with many colours,联合式,四字,古代,常用,五光十色,南朝 梁 江淹《丽色赋》：“五光徘徊，十色陆离。”,“色”，不能读作“shǎi”。,“十”，不能写作“石”。,五光十色和“五彩缤纷”都有色彩非常多的意思。但五光十色偏重于色彩艳丽、花样繁多；“五彩缤纷”偏重于色彩繁杂；非常悦目。,,,,
举世闻名,jǔ shì wén míng,举：全。全世界都听到名声。形容知名度很高。,中国的象牙雕刻是杰出的，北京的山水人物和广州的花卉动物牙雕，尤其举世闻名。（秦牧《高高翘起的象鼻子》）,主谓式；作谓语、宾语、定语；含褒义。,,褒义,be world…famous,偏正式,四字,古代,常用,举世闻名,北齐 颜之推《颜氏家训 卷七 杂艺》：“王逸少风流才士，萧散名人。举世但知其书，翻以能自蔽也。”,“举”，不能读作“jū”。,“名”，不能写作“明”；“举”，不能写作“居”。,举世闻名和“遐迩闻名’；都含有“很出名”的意思。不同在于：“举世”和“遐迩”。举世闻名表示全世界的人都知道；声望比“遐迩闻名”更大。,舉丗聞名,,,
平淡无奇,píng dàn wú qí,奇：特殊。平平淡淡；没有什么显著的、出色的地方。,江西境内的风物，太平淡无奇了，这儿和长江沿岸所见到的别无二致。（郭沫若《涂家埠》八）,联合式；作谓语、补语；用于文章、说话等。,,中性,very ordinary,联合式,四字,近代,常用,平淡无奇,清 文康《儿女英雄传》第19回：“听起安老爷这几句话，说得也平淡无奇。”,“奇”，不能读作“jī”。,“淡”，不能写作“谈”。,平淡无奇和“平铺直叙”；都有“平平淡淡”的意思；都用来形容说话和文章内容。但平淡无奇不仅用于说话、写文章；还常用来形容景色和某些事物平常；毫无特色；应用范围广；并偏重在“没有突出、出色之处”。“平铺直叙”一般只用于说话、作文章；偏重在“没有波澜、重点不突出。”,平淡無奇,,,
大言不惭,dà yán bù cán,满口自吹自夸的话；一点也不觉得难为情。,严知孝听他这个得意的学生大言不惭的说着，脸上的愁闷就散开了。（梁斌《红旗谱》四二）,连动式；作谓语、定语、状语；含贬义。,细语含羞,贬义,boast without shame,紧缩式,四字,古代,常用,大言不惭,先秦 孔子《论语 宪问》：“其言之不怍，则为之也难。”宋 朱熹注：“大言不惭，则无必为之志，而不自度其能否矣。”,,,,大言不慚,,,
浑然一体,hún rán yī tǐ,浑然：完整不可分。融合成为一个难以分割的整体。,这幅山水画气势雄壮，结构紧凑，浑然一体。,偏正式；作谓语、宾语、定语；用于诗文、绘画等。,跳进黄河洗不清,中性,one integrated mass,偏正式,四字,古代,常用,浑然一体,《二程遗书》第二卷上：“学者须先识仁。仁者，浑然与物同体。义、礼、知、信皆仁也。”,“浑”，不能读作“hūn”。,“浑”，不能写作“昏”、“混”；“体”，不能写作“休”。,浑然一体和“水乳交融”；都含有“紧密地结合在一起”的意思。不同在于：①“水乳交融”能比喻思想感情融洽或意见一致；适用范围广；浑然一体不能。②浑然一体偏重于成为一体；“水乳交融”偏重于融合。,渾然一軆,,,
通力合作,tōng lì hé zuò,不分彼此；共同努力。通：联合。,都在向我们说明通力合作，进向平和的建设的道路。（鲁迅《且介亭杂文末编 记苏联版画展览会》）,联合式；作谓语、宾语、含褒义。,,褒义,make a concerted effort（give full coorporation to; pull together）,联合式,四字,古代,常用,通力合作,先秦 孔子《论语 颜渊》：“盍彻乎”宋 朱熹注：“一夫受田百亩，而与同沟共井之人，通力合作，计亩均收。”,“作”，不能读作“zhuò”。,“合”，不能写作“和”。,通力合作与“同心协力”区别在于：通力合作强调一起出力；共同合作；而“同心协力”是强调心愿相同；共同出力。后者强调合作愿望一致；而通力合作却不一定。,,,,
横七竖八,héng qī shù bā,有的横着；有的竖着。形容杂乱无章；没有条理。,加工厂内，横七竖八地放着许多圆木。,联合式；作谓语、定语、状语；含贬义，形容杂乱无章。,十五个棒槌搭棚,贬义,spread all across in confusion,联合式,四字,古代,常用,横七竖八,明 施耐庵《水浒传》第34回：“一片瓦砾场上，横七竖八，杀死的男子妇女，不计其数。”,“横”，不能读作“hèng”。,“竖”，不能写作“数”、“树”。,横七竖八和“杂乱无章”；都可形容杂乱；很不整齐。但横七竖八可指人或物；“杂乱无章”只形容物；还有“没条理”的意思。,横七竪八,,十五个棒槌搭棚,
自我安慰,zì wǒ ān wèi,指自己安慰自己。,路遥《平凡的世界》第三卷第13章：“这种自我安慰的想法，使孙少平的心平静了一些。”,作谓语、宾语、定语；指自己安慰自己。,,中性,,主谓式,四字,当代,常用,自我安慰,邓小平《会见香港特别行政区基本法起草委员会委员时的讲话》：“我看没有这种自我安慰的根据。”,,,,,,,
弱不禁风,ruò bù jīn fēng,旧时形容身体娇弱；连风吹都经受不起。现指人体质虚弱。,如果不参加劳动，也就会沾上资产阶级的思想意识，而且弱不禁风。（茅盾《一九六０年短篇小说漫评》）,补充式；作谓语、补语、定语、宾语；形容女子体态纤弱。,久病初愈,贬义,extremely delicate,补充式,四字,古代,常用,弱不禁风,唐 杜甫《江雨有怀郑典设》诗：“乱波纷披已打岸，弱云狼藉不禁风。”,“禁”，不能读作“jìn”。,“禁”，不能写作“经”。,,弱不禁風,,林黛玉的身子,
扬眉吐气,yáng méi tǔ qì,扬眉：扬起眉头；吐气：吐出怨气、闷气。形容摆脱压抑心情后的高兴；得意的神情。,只要将来做了八府巡按，妈也就可以扬眉吐气了。（巴金《家》十二）,联合式；作谓语、定语、状语；含褒义。,眨眼打呵欠,褒义,feel proud and happy,联合式,四字,古代,常用,扬眉吐气,唐 李白《与韩荆州书》：“何惜阶前盈尺之地，不使白扬眉吐气，激昂青云耶？”,“吐”，不能读作“tù”。,“扬”，不能写作“杨”。,见“眉飞色舞”。,揚眉吐氣,,苏秦拜相还乡,
后起之秀,hòu qǐ zhī xiù,秀：特异；优秀。指从后辈中成长起来优秀人物。,我国体育事业迅速发展，涌现出了大量后起之秀。,偏正式；作主语、宾语；形容出类拔萃的人物。,新苗；汉光武,中性,a promising youth,偏正式,四字,近代,常用,后起之秀,清 余怀《板桥杂记 丽品》：“崔科，后起之秀，目未见前辈典型，然有一种韶令之致。”,,,,後起之秀,,,后起之秀
灯红酒绿,dēng hóng jiǔ lǜ,灯光与酒色；红绿相映。形容娇奢淫逸的生活；也形容娱乐场所的繁华景象。也作“酒绿灯红”。,少数人过着灯红酒绿，醉生梦死的生活，人民不满。（老舍《鼓书艺人》十九）,联合式；作主语、定语；含贬义。,夜总会,贬义,red lanterns and green wine; indulge in gay life and debauchery,联合式,四字,近代,常用,灯红酒绿,徐迟《牡丹》五：“灯红酒绿、珠光宝气的社会，只能使她感到窒息。”,,“酒”，不能写作“洒”。,灯红酒绿和“纸醉金迷”；都形容奢侈腐化的生活。但灯红酒绿偏重于“腐枯、糜烂”；“纸醉金迷”偏重于“豪华、奢侈”。,燈紅酒緑,,,
化为乌有,huà wéi wū yǒu,乌有：无有；不存在。变得什么都没有了。形容一下子丧失或全部落空。,岂意青州六从事，化为乌有一先生。（宋 苏轼《章质夫送酒六壶，书至而酒不达，戏作小诗问之》诗）,动宾式；作谓语、宾语；形容一下子丧失或全部落空。,雀巢鸦占；白布染黑；七人皆失踪,贬义,come to nothing,动宾式,四字,古代,常用,化为乌有,宋 苏轼《东坡诗 卷十五 章质夫送酒六壶，书至而酒不达，戏作小诗问之》诗：“岂意青州六从事，化为乌有一先生。”,“为”，不能读作“wèi”。,“化”，不能写作“划”；“乌”，不能写作“无”、“鸟”。,见“化为泡影”。,化為烏有,,开水煮棒冰,
扬长避短,yáng cháng bì duǎn,扬；发挥；避：回避；避开。发扬长处；避开短处。,《萧山农工商联合企业显示优越性》：“因地制宜，扬长避短。”,联合式；作谓语、定语、分句；含褒义。,,褒义,develop the strong points and avoid the weak points,联合式,四字,当代,常用,扬长避短,秦牧《漫记端木蕻良》：“选择这样一个题材来写作，既扬长避短，也施展了抱负。”,“长”，不能读作“zhǎng”。,“避”，不能写作“癖”。,见“取长补短”。,揚長避短,,,
旗帜鲜明,qí zhì xiān míng,旗：军队用的旗帜。原指军旗鲜艳；后指对某些问题态度明朗。,文章的主题要旗帜鲜明，不能模棱两可。,主谓式；作谓语、定语；指政治态度明确，立场坚定。,,中性,be clear-cut in one's stand（in a clear-cut way）,主谓式,四字,古代,常用,旗帜鲜明,清 钱采《说岳全传》：“兀术好生疑惑，忙出营前观看，果然依旧旗帜鲜明，刀枪密布，不知何故。”,“帜”，不能读作“zì”。,“鲜”，不能写作“显”。,,旗幟鮮明,,,
取长补短,qǔ cháng bǔ duǎn,吸取别人的长处；来弥补自己的不足之处。,外来干部和本地干部各有长处，也各有短处，必须互相取长补短，才能有进步。毛泽东《整顿党的作风》,联合式；作谓语、定语；含褒义。,截了大褂补短裤,褒义,mutually to make up their deficiencies,连动式,四字,古代,常用,取长补短,《孟子 滕文公上》：“今滕绝长补短，将五十里也，犹可以为善国。”,“长”，不能读作“zhǎng”。,“短”，不能写作“矮”。,取长补短和“扬长避短”；都含有“取长处；避短处”的意思。但取长补短偏重在“补”；指用长处弥补短处；强调“吸取别人的长处”的意思；“扬长避短”偏重在“避”；指避免短处；对“长处”还有“发扬”的意思。,取長補短,,长衫子改夹袄；瞎子背跛子,取长补短
一览无余,yī lǎn wú yú,览：看。余：剩余。看一眼就全部看在眼里。,水中岸上都光光的；亏得湖里有五个洲子点缀着，不然便一览无余了。（朱自清《南京》）,紧缩式；作谓语、状语；形容视野开阔。,观光；尽收眼底,中性,take in everything in a glance,紧缩式,四字,古代,常用,一览无余,南朝 宋 刘义庆《世说新语 言语》：“江左地促，不如中国，若使阡陌条畅，则一览而尽，故纡余委曲，若不可测。”,“一”，不能读作“yì”。,“余”，不能写作“佘”。,一览无余和“一目了然”；都有“一眼就看得明白”的意思；但一览无余偏重在事物的简单或全在视线内；一看就全知道；“一目了然”偏重在事物脉络清楚；一看就明白。,一覽無余,,,
扣人心弦,kòu rén xīn xián,扣：敲打。心弦：指因感动而引起共鸣的心。也作“动人心弦”。形容言论或表演深深地打动人心。,体育馆里，一场扣人心弦的排球比赛正在进行着。,动宾式；作谓语、宾语、定语；含褒义。,切脉,褒义,exciting（soul-stirring; thrilling）,动宾式,四字,当代,常用,扣人心弦,魏巍《东方》第二部第七章：“据说这人最不爱讲话，但那天的几句话，却是那样扣人心弦，感动得自己当时流下了眼泪。”,“弦”，不能读作“xuán”。,“弦”，不能写作“旋”。,,扣人心絃,,,
不省人事,bù xǐng rén shì,省：知觉。指昏迷过去；失去知觉；陷入昏迷状态。有时也指不懂人情世理。,大作又说我“大声疾呼”之后，不过几年，青年就只能说外国话。我以为是不省人事之谈。（鲁迅《集外集拾遗 报“奇哉所谓……”》）,动宾式；作谓语、定语、补语；形容丧失知觉，没有意识。,浪费劳动力,中性,lose consciousness（not know the ways of the world）,动宾式,四字,古代,常用,不省人事,《明史 艾穆传》：“穆遣戍凉州，创重不省人事，既而复苏，遂诣戍所。”,“省”，不能读作“shěng”。,“省”，不能写作“醒”。,不省人事和“蒙昧无知”；都有“不懂事”的意思。不同在于：①不省人事多指人幼稚无知；不懂人情世事；“蒙昧无知”多指人没有文化；糊涂不懂事理。②不省人事含有“失去知觉”之意；“蒙昧无知”没有。,,,,
倾国倾城,qīng guó qīng chéng,倾：倾覆；城：国。原指因女色而亡国。后多形容妇女容貌极美。,一个太真妃倾国倾城。（元 白朴《梧桐雨》第一折）,联合式；作谓语、定语；含褒义。,,褒义,extremely beautiful,联合式,四字,古代,常用,倾国倾城,东汉 班固《汉书 外戚传下 孝武李夫人》：“北方有佳人，绝世而独立，一顾倾人城，再顾倾人国。”,,,,傾國傾城,ABAC式,,倾国倾城
大喜过望,dà xǐ guò wàng,望：希望。结果超过了原来所期望的；因而非常高兴（过：超过；望：期望　）。,灿若灯下一看，正是前日相逢之人，不觉大喜过望，方才放下了心。（明 凌濛初《初刻拍案惊奇》卷十六）,主谓式；作谓语、定语、状语；指特别高兴。,十六日成亲；天下欢颜度中秋,中性,be delighted with unexpectedly good results,主谓式,四字,古代,常用,大喜过望,东汉 班固《汉书 英布传》：“布大怒，悔来，欲自杀。出就舍，张御食饮从官如汉王居，布又大喜过望。”,,,,大喜過朢,,,大喜过望
可乘之机,kě chéng zhī jī,乘：凭借；利用；机：机会。可以利用的机会。,按宋南渡后亦未尝无可乘之机。（清 赵翼《二十四史札记 卷二十六 和议》）,偏正式；作宾语；含贬义。,即将起飞的航班,贬义,readily exploitable loopholes,偏正式,四字,古代,常用,可乘之机,《晋书 吕篡传》：“宜缮甲养锐，劝课农殖，待可乘之机，然后一举荡灭。”,“乘”，不能读作“chèng”。,“乘”，不能写作“乖”。,,可乗之機,,,
不声不响,bù shēng bù xiǎng,不说话，不出声。,这是试探咱，要是咱不声不响，以后开会就不再咱啰。柳青《狠透铁》三,联合式；作谓语、定语；形容没有声音。,最安静的时候,中性,hold noe's noise（keep one's peace）,联合式,四字,近代,常用,不声不响,茅盾《子夜》十一：“偶或有独自低着头不声不响的，那一定是失败者。”,,,,不聲不響,ABAC式,,
辗转反侧,zhǎn zhuǎn fǎn cè,翻来复去；睡不着觉。形容心事重重。,我心里又想起母亲的劳苦，辗转反侧睡不着，很想起来陪陪母亲。（邹韬奋《我的母亲》）,联合式；作谓语、状语；指睡不着觉。,最不容易入睡的人,中性,toss and turn restlessly,补充式,四字,古代,常用,辗转反侧,《诗经 周南 关雎》：“悠哉悠哉，辗转反侧。”,“辗”，不能读作“niǎn”。,“辗”，不能写作“碾”。,“翻来覆去”和辗转反侧；都可表示“来回翻转身体”。但“翻来覆去”常用于口语；辗转反侧只用于书面语。“翻来覆去”有形容多次重复的意思；辗转反侧没有。,輾轉反側,,,辗转反侧
一技之长,yī jì zhī cháng,技：技能；本领；长：擅长、专长。有某一种专长。,风琴棋书画，医卜星相，如有一技之长者，前来进谒，莫不优礼以待。（清 李汝珍《镜花缘》第六十四回）,偏正式；作宾语、定语；指有某种技能或特长。,单项冠军,中性,professinal skill（speciality）,偏正式,四字,近代,常用,一技之长,清 李汝珍《镜花缘》第64回：“凡琴棋书画，医卜星相，如有一技之长者，前来进谒，莫不优礼以待。”,“长”，不能读作“zhǎng”。,“技”，不能写作“枝”。,,一技之長,,,
如虎添翼,rú hǔ tiān yì,如同老虎长了翅膀。比喻强大的更加强大了。,因为匪徒们深知，这两件东西一掌握在姜青山手里，就如虎添翼，再多的人也奈何不了他。（曲波《林海雪原》二七）,动宾式；作谓语、宾语、分句；含褒义。,彪,褒义,like a tiger with wings,偏正式,四字,近代,常用,如虎添翼,清 西周生《醒世姻缘传》第63回：“那尤氏亦因没了薛教授的禁持，信口的把个女儿教道，教得个女儿如虎添翼一般，那里听薛夫人的解劝。”,“添”，不能读作“tián”。,“翼”，不能写作“冀”。,如虎添翼表示使强大的组织或个人的力量更加强大；“锦上添花”多表示使美好的事物更加美好；不涉及力量的大小；比如虎添翼范围广。,,,,
剑拔弩张,jiàn bá nǔ zhāng,弩：古代一种用机械力量射箭的弓；张：弓上弦。剑拔出来了；弓拉开了。比喻形势紧张；一触即发。也引申形容文艺作品的气势遒劲。,法国兵舰在闽汪口出入频繁，而交涉方面剑拔弩张，看样子福州船局必难幸免法国兵舰的炮火。（高阳《清宫外史》下册）,联合式；作谓语、定语、状语；形容双方冲突。,刀出鞘，弓上弦,中性,becoming dangerously explosive,联合式,四字,古代,常用,剑拔弩张,南朝 梁 袁昂《古今书评》：“韦诞书如龙威虎振，剑拔驽张。”,“弩”，不能读作“nú”。,“剑”，不能写作“箭”；“弩”，不能写作“努”。,剑拔弩张和“一触即发”；都可形容事态紧张；有时可以通用或连用。但剑拔弩张能形容书法雄健或气势逼人；“一触即发”不能。,劍拔弩張,,,
连锁反应,lián suǒ fǎn yìng,连锁：像锁链似的一环扣一环。比喻一系列相关的事物；只要一个产生变化；其他都跟着发生变化。,我们要注意此事的连锁反应。,偏正式；作宾语；形容事物的联系。,,中性,chain reaction（chain-reacting ）,偏正式,四字,当代,常用,连锁反应,莫应丰《将军吟》第20章：“疑问一个套一个，急速地产生了连锁反应，把整个的观念境界全部搅乱了。”,“应”，不能读作“yīng”。,“连”，不能写作“联”。,,連鎖反應,,,
得寸进尺,dé cùn jìn chǐ,得到了一寸又进一步得到一尺。比喻欲望越来越大；贪心不足。,法国得寸进尺，五年以后吞并了整个南圻，而心犹未足，还打算攘夺北圻，仅留下中圻给越南。（高阳《清宫外史》下册）,连动式；作谓语、定语、状语；含贬义。,九十分；加倍获利；有了十分，还想百分,贬义,Much will have more.,连动式,四字,古代,常用,得寸进尺,西汉 刘向《战国策 秦策三》：“王不如远交而近攻，得寸则王之寸，得尺亦王之尺也。”,“得”，不能读作“děi”。,“进”，不能写作“近”。,（一）得寸进尺和“得陇望蜀”；都比喻贪得无厌；不知满足。不同在于：①得寸进尺的语义重些；表示胃口越来越大；越要越多；越逼越紧。②“得陇望蜀”的要求一般较具体是“得到这个；还要那个”的意思；得寸进尺的要求有时是具体的；有时则是不具体的。（二）得寸进尺和“贪得无厌”；都有“不满足于所得”的意思。但得寸进尺偏重于逐步进逼；“贪得无厌”偏重于贪婪地追求。,得寸進尺,,有了馒头想肉吃；侵略者的逻辑,
举世瞩目,jǔ shì zhǔ mù,举：全；瞩目：注视。全世界的人都注视着。,中国经济体制的改革，是举世瞩目的大事。,主谓式；作谓语、宾语、定语；指全世界的人都注视着。,,中性,be a focus of world attention,偏正式,四字,古代,常用,举世瞩目,战国 楚 屈原《渔夫》：“举世皆浊我独清。”《国语 晋语》：“则恐国人这瞩目于我也。”,“瞩”，不能读作“shǔ”。,“举”，不能写作“居”；“瞩”，不能写作“嘱”。,,舉丗矚目,,,
风和日丽,fēng hé rì lì,和：柔合；温和。轻风柔和；阳光灿烂。形容天气晴和。,是时风和日丽，遍地金黄，青衫红袖，越阡度陌，蝶蜂乱飞，令人不饮自醉。（清 沈复《浮生六记》卷二）,联合式；作谓语、定语、分句；形容晴朗暖和的天气。,蜜蜂停在日历上,中性,The breeze is gentle and the sun beautiful.,联合式,四字,近代,常用,风和日丽,清 吴趼人《痛史》：“是日风和日丽，众多官员，都来祭奠。”,“和”，不能读作“huó”。,“和”，不能写作“合”。,,風咊日麗,,,
两全其美,liǎng quán qí měi,全：顾全；在全；美：美好；美满。做一件事圆满地照顾到两个方面；使两方面都得到好处。,土霸打倒，穷苦人见青天。不是两全其美！（梁斌《红旗谱》十八）,主谓式；作谓语、定语；含褒义。,秀丽；欲把西湖比西子,褒义,make both respects complete,主谓式,四字,古代,常用,两全其美,元 无名氏《连环计》第三折：“司徒，你若肯与了我呵，堪可两全其美也。”,“其”，不能读作“qī”。,,两全其美和“一举两得”；都有事情的两方面都有好结果的意思。但两全其美指做事顾全两方面；使之都有好结果；“一举两得”指做一件事而收到两件事的效果。,兩全其美,,瞎子背拐子,两全其美
四面楚歌,sì miàn chǔ gē,四面都是楚人的歌声。后用来比喻四面受敌；处于孤立无援的处境。,在这四面楚歌里，凭你怎样伶牙俐齿，也只得服从了。（朱自清《航船中的文明》）,主谓式；作定语；含贬义。,乌江岸上困霸王,贬义,be utterly isolated,偏正式,四字,古代,常用,四面楚歌,《史记 项羽本纪》：“项王军壁垓下，兵少食尽，汉军及诸侯兵围之数重。夜闻汉军四面皆楚歌，项王乃大惊，曰：‘汉皆已得楚乎？是何楚人之多也。’”〖示例〗在这四面楚歌里，凭你怎样伶牙俐齿，也只得服从了。 ★朱自清《航船中的文明》,“楚”，不能读作“cǔ”。,“楚”，不能写作“触”。,见“腹背受敌”。,四靣楚謌,,九里山前摆战场；乌江岸上困霸王,四面楚歌
